1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
400.105764,1.413e-25,          0 1 0,          0 1 0, 11  4  7      , 11  1 10      
400.221819,1.071e-20,          0 0 0,          0 0 0, 10  4  6      ,  9  3  7      
400.48104,1.068e-20,          0 0 0,          0 0 0, 10  6  4      ,  9  5  5      
400.492193,6.059e-28,          1 0 0,          0 2 0,  8  4  4      ,  7  5  3      
400.797692,9.784e-24,          0 1 0,          0 1 0,  9  6  4      ,  8  5  3      
400.801303,1.249e-30,          1 0 0,          0 2 0, 11  2 10      , 10  3  7      
400.861654,3.932e-23,          0 1 0,          0 1 0,  8  7  2      ,  7  6  1      
400.864883,1.311e-23,          0 1 0,          0 1 0,  8  7  1      ,  7  6  2      
400.9816,2.759e-30,          0 0 1,          0 2 0,  9  1  9      , 10  1 10      
401.148644,5.116e-28,          0 2 0,          0 2 0,  7  5  2      ,  7  2  5      
401.380294,2.945e-23,          0 1 0,          0 1 0,  9  6  3      ,  8  5  4      
402.219825,4.96e-28,          0 1 0,          0 1 0, 14  6  8      , 14  3 11      
402.395775,3.194e-30,          0 0 1,          0 2 0,  6  2  5      ,  7  2  6      
402.55961,1.774e-30,          0 0 0,          0 0 0, 13 12  2      , 14  9  5      
402.567276,2.736e-28,          0 0 1,          0 0 1,  8  4  5      ,  7  1  6      
402.57102,5.324e-30,          0 0 0,          0 0 0, 13 12  1      , 14  9  6      
402.571185,5.484e-29,          0 0 1,          0 0 1,  5  5  1      ,  4  2  2      
402.665237,3.785e-29,          0 0 0,          0 0 0, 11 11  1      , 12  8  4      
402.681151,1.136e-28,          0 0 0,          0 0 0, 11 11  0      , 12  8  5      
402.74466,2.962e-26,          0 1 0,          0 1 0, 10  6  4      , 10  3  7      
402.92667,1.878e-26,          0 2 0,          0 2 0,  9  5  4      ,  8  4  5      
403.450458,1.038e-30,          0 0 0,          0 0 0, 17  9  9      , 18  4 14      
403.555172,1.364e-28,          0 0 1,          0 0 1, 11  6  6      , 10  5  5      
403.732373,1.329e-27,          0 0 1,          0 2 0,  4  3  1      ,  5  3  2      
403.740763,4.893e-25,          0 0 0,          0 0 0, 17  5 13      , 16  4 12      
403.985319,1.021e-28,          0 0 0,          0 0 0, 20  6 14      , 19  7 13      
403.990114,3.838e-29,          0 1 0,          0 1 0, 22  1 22      , 21  0 21      
403.990552,1.28e-29,          0 1 0,          0 1 0, 22  0 22      , 21  1 21      
404.077607,5.178e-24,          0 1 0,          0 1 0, 10  5  5      ,  9  4  6      
404.089258,4.446e-28,          0 0 1,          0 0 1,  9  8  2      ,  8  7  1      
404.090723,1.506e-28,          0 0 1,          0 0 1,  9  8  1      ,  8  7  2      
404.164736,2.093e-27,          0 2 0,          0 0 1,  7  7  0      ,  6  3  3      
404.353732,2.511e-30,          0 0 1,          1 0 0, 13  5  9      , 12  5  8      
404.642386,3.067e-30,          1 0 0,          0 0 1,  5  5  1      ,  4  1  4      
404.649029,1.125e-24,          0 1 0,          0 1 0, 12  5  8      , 11  4  7      
404.756034,1.946e-30,          0 0 0,          0 0 0, 18  6 12      , 19  3 17      
404.843223,5.334e-30,          1 0 0,          0 0 1,  9  6  4      ,  8  4  5      
405.035356,8.912e-27,          0 2 0,          0 2 0,  7  7  1      ,  6  6  0      
405.079415,3.436e-29,          1 0 0,          0 0 1,  7  5  2      ,  6  1  5      
405.146705,2.483e-26,          0 2 0,          0 2 0,  7  7  0      ,  6  6  1      
405.495533,4.912e-22,          0 0 0,          0 0 0,  8  6  3      ,  8  3  6      
405.501572,2.693e-25,          0 1 0,          0 1 0,  7  5  3      ,  7  2  6      
405.58476,3.967e-30,          1 0 0,          0 2 0,  6  1  5      ,  6  2  4      
405.595965,1.257e-30,          1 0 0,          1 0 0,  5  5  0      ,  5  0  5      
405.6283,6.433e-30,          0 0 1,          0 0 1,  9  4  6      ,  9  1  9      
405.657629,3.756e-30,          0 0 1,          0 2 0,  4  3  2      ,  5  3  3      
405.940198,2.226e-30,          1 0 0,          1 0 0,  9  6  4      ,  9  3  7      
406.167886,2.602e-26,          0 2 0,          0 2 0,  8  6  3      ,  7  5  2      
406.259348,1.644e-28,          0 0 1,          0 0 1, 10  4  6      ,  9  3  7      
406.36524,1.413e-25,          0 0 0,          0 0 0, 19  3 16      , 18  4 15      
406.453123,3.921e-30,          1 0 0,          0 0 1,  7  7  0      ,  6  5  1      
406.498964,1.3e-30,          1 0 0,          0 0 1,  7  7  1      ,  6  5  2      
406.54224,8.142e-27,          0 2 0,          0 2 0,  8  6  2      ,  7  5  3      
406.797241,1.151e-28,          1 0 0,          0 0 1, 11  6  5      , 10  4  6      
406.89358,3.509e-29,          1 0 0,          0 2 0,  9  4  6      ,  8  5  3      
406.924589,1.281e-30,          0 0 1,          0 0 1, 10  5  6      , 10  2  9      
407.305198,4.739e-26,          0 0 0,          0 0 0, 19  4 16      , 18  3 15      
407.350088,2.907e-27,          0 1 0,          0 1 0,  8  5  4      ,  9  0  9      
407.451836,4.035e-24,          0 0 0,          0 0 0, 12  7  5      , 12  4  8      
407.532238,3.156e-26,          0 0 0,          0 0 0, 20  2 18      , 19  3 17      
407.566682,9.469e-26,          0 0 0,          0 0 0, 20  3 18      , 19  2 17      
407.797387,7.3e-30,          0 1 0,          0 1 0, 10  9  2      , 11  6  5      
407.823362,4.226e-29,          0 1 0,          0 1 0, 19  3 16      , 18  4 15      
407.897314,9.423e-30,          0 1 0,          0 1 0, 21  2 20      , 20  1 19      
407.979306,1.319e-27,          1 0 0,          1 0 0,  8  4  5      ,  7  1  6      
407.998366,2.949e-29,          0 1 0,          0 1 0, 21  1 20      , 20  2 19      
408.206298,1.882e-27,          0 0 0,          0 0 0, 15  5 10      , 16  2 15      
408.293118,2.567e-28,          0 0 1,          0 0 1,  8  3  6      ,  7  0  7      
408.325136,7.622e-26,          0 0 0,          0 0 0, 21  1 20      , 20  2 19      
408.325913,2.541e-26,          0 0 0,          0 0 0, 21  2 20      , 20  1 19      
408.340404,1.053e-29,          0 1 0,          0 1 0, 20  2 18      , 19  3 17      
408.458467,3.162e-29,          0 1 0,          0 1 0, 20  3 18      , 19  2 17      
408.558914,1.013e-26,          0 1 0,          0 1 0, 13  5  8      , 13  2 11      
408.64115,5.479e-30,          1 0 0,          1 0 0, 10  5  6      , 10  2  9      
408.689854,2.441e-30,          0 1 0,          0 1 0, 10  9  1      , 11  6  6      
408.771949,3.769e-30,          0 0 0,          0 0 0, 17  8 10      , 18  3 15      
408.817374,9.774e-29,          0 0 1,          0 0 1, 10  7  4      ,  9  6  3      
408.859167,1.042e-29,          1 0 0,          0 2 0,  3  1  3      ,  3  2  2      
408.976801,3.478e-30,          0 0 1,          1 0 0, 12  4  8      , 11  4  7      
409.037655,8.981e-26,          0 1 0,          0 1 0, 13  5  9      , 12  4  8      
409.056977,2.89e-28,          0 0 1,          0 0 1, 10  7  3      ,  9  6  4      
409.213085,1.511e-29,          0 0 0,          0 0 0, 16  9  8      , 17  4 13      
409.257667,2.188e-29,          0 3 0,          0 3 0,  8  5  4      ,  7  4  3      
409.504585,2.913e-23,          0 1 0,          0 1 0,  9  3  6      ,  8  2  7      
409.667916,2.07e-29,          1 0 0,          0 2 0,  3  0  3      ,  4  1  4      
